id,value
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Lateral Thalamic Nuclei,A08.186.211.200.317.826.701.485
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Lateral Thalamic Nuclei.Pulvinar,A08.186.211.200.317.826.701.485.600
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Mediodorsal Thalamic Nucleus,A08.186.211.200.317.826.701.490
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Midline Thalamic Nuclei,A08.186.211.200.317.826.701.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Posterior Thalamic Nuclei,A08.186.211.200.317.826.701.700
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Thalamus.Thalamic Nuclei.Ventral Thalamic Nuclei,A08.186.211.200.317.826.701.900
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon,A08.186.211.200.885
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum,A08.186.211.200.885.287
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia,A08.186.211.200.885.287.249
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Amygdala,A08.186.211.200.885.287.249.152
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Amygdala.Basolateral Nuclear Complex,A08.186.211.200.885.287.249.152.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Amygdala.Central Amygdaloid Nucleus,A08.186.211.200.885.287.249.152.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Amygdala.Corticomedial Nuclear Complex,A08.186.211.200.885.287.249.152.875
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Amygdala.Corticomedial Nuclear Complex.Periamygdaloid Cortex,A08.186.211.200.885.287.249.152.875.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Claustrum,A08.186.211.200.885.287.249.320
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum,A08.186.211.200.885.287.249.487
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Globus Pallidus,A08.186.211.200.885.287.249.487.397
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Neostriatum,A08.186.211.200.885.287.249.487.550
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Neostriatum.Caudate Nucleus,A08.186.211.200.885.287.249.487.550.184
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Neostriatum.High Vocal Center,A08.186.211.200.885.287.249.487.550.484
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Neostriatum.Putamen,A08.186.211.200.885.287.249.487.550.784
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Ventral Striatum,A08.186.211.200.885.287.249.487.775
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Ventral Striatum.Nucleus Accumbens,A08.186.211.200.885.287.249.487.775.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Ventral Striatum.Olfactory Tubercle,A08.186.211.200.885.287.249.487.775.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Corpus Striatum.Ventral Striatum.Olfactory Tubercle.Islands of Calleja,A08.186.211.200.885.287.249.487.775.750.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Substantia Innominata,A08.186.211.200.885.287.249.880
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Basal Ganglia.Substantia Innominata.Basal Nucleus of Meynert,A08.186.211.200.885.287.249.880.100
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex,A08.186.211.200.885.287.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Frontal Lobe,A08.186.211.200.885.287.500.270
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Frontal Lobe.Motor Cortex,A08.186.211.200.885.287.500.270.548
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Frontal Lobe.Prefrontal Cortex,A08.186.211.200.885.287.500.270.700
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Frontal Lobe.Prefrontal Cortex.Broca Area,A08.186.211.200.885.287.500.270.700.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Frontal Lobe.Uncinate Fasciculus,A08.186.211.200.885.287.500.270.850
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus,A08.186.211.200.885.287.500.345
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.CA1 Region, Hippocampal",A08.186.211.200.885.287.500.345.099
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.CA2 Region, Hippocampal",A08.186.211.200.885.287.500.345.149
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.CA3 Region, Hippocampal",A08.186.211.200.885.287.500.345.174
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.Dentate Gyrus,A08.186.211.200.885.287.500.345.200
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.Dentate Gyrus.Mossy Fibers, Hippocampal",A08.186.211.200.885.287.500.345.200.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Hippocampus.Fornix, Brain",A08.186.211.200.885.287.500.345.600
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Limbic Lobe,A08.186.211.200.885.287.500.382
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Limbic Lobe.Gyrus Cinguli,A08.186.211.200.885.287.500.382.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Limbic Lobe.Parahippocampal Gyrus,A08.186.211.200.885.287.500.382.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Limbic Lobe.Parahippocampal Gyrus.Entorhinal Cortex,A08.186.211.200.885.287.500.382.750.225
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Limbic Lobe.Parahippocampal Gyrus.Periamygdaloid Cortex,A08.186.211.200.885.287.500.382.750.612
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Neocortex,A08.186.211.200.885.287.500.420
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Occipital Lobe,A08.186.211.200.885.287.500.571
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Occipital Lobe.Visual Cortex,A08.186.211.200.885.287.500.571.735
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex,A08.186.211.200.885.287.500.620
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Basal Forebrain,A08.186.211.200.885.287.500.620.374
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Basal Forebrain.Organum Vasculosum,A08.186.211.200.885.287.500.620.374.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Entorhinal Cortex,A08.186.211.200.885.287.500.620.562
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Olfactory Tubercle,A08.186.211.200.885.287.500.620.656
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Olfactory Tubercle.Islands of Calleja,A08.186.211.200.885.287.500.620.656.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Olfactory Cortex.Piriform Cortex,A08.186.211.200.885.287.500.620.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Parietal Lobe,A08.186.211.200.885.287.500.670
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Parietal Lobe.Somatosensory Cortex,A08.186.211.200.885.287.500.670.675
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Parietal Lobe.Wernicke Area,A08.186.211.200.885.287.500.670.837
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex,A08.186.211.200.885.287.500.814
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Auditory Cortex,A08.186.211.200.885.287.500.814.249
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Motor Cortex,A08.186.211.200.885.287.500.814.624
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Olfactory Cortex,A08.186.211.200.885.287.500.814.695
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Olfactory Cortex.Basal Forebrain,A08.186.211.200.885.287.500.814.695.249
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Olfactory Cortex.Entorhinal Cortex,A08.186.211.200.885.287.500.814.695.374
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Olfactory Cortex.Olfactory Tubercle,A08.186.211.200.885.287.500.814.695.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Olfactory Cortex.Olfactory Tubercle.Islands of Calleja,A08.186.211.200.885.287.500.814.695.500.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Somatosensory Cortex,A08.186.211.200.885.287.500.814.906
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Sensorimotor Cortex.Visual Cortex,A08.186.211.200.885.287.500.814.953
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Temporal Lobe,A08.186.211.200.885.287.500.863
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Temporal Lobe.Auditory Cortex,A08.186.211.200.885.287.500.863.297
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Temporal Lobe.Perirhinal Cortex,A08.186.211.200.885.287.500.863.574
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Temporal Lobe.Uncinate Fasciculus,A08.186.211.200.885.287.500.863.712
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Cerebral Cortex.Temporal Lobe.Wernicke Area,A08.186.211.200.885.287.500.863.850
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex,A08.186.211.200.885.287.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex.Basal Forebrain,A08.186.211.200.885.287.750.374
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex.Entorhinal Cortex,A08.186.211.200.885.287.750.562
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex.Olfactory Tubercle,A08.186.211.200.885.287.750.656
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex.Olfactory Tubercle.Islands of Calleja,A08.186.211.200.885.287.750.656.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Cerebrum.Olfactory Cortex.Piriform Cortex,A08.186.211.200.885.287.750.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Diagonal Band of Broca,A08.186.211.200.885.380
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.External Capsule,A08.186.211.200.885.382
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Internal Capsule,A08.186.211.200.885.385
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Olfactory Bulb,A08.186.211.200.885.388
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Septum of Brain,A08.186.211.200.885.750
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Septum of Brain.Septal Nuclei,A08.186.211.200.885.750.800
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Septum of Brain.Septum Pellucidum,A08.186.211.200.885.750.814
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Telencephalic Commissures,A08.186.211.200.885.800
"Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Telencephalic Commissures.Anterior Commissure, Brain",A08.186.211.200.885.800.500
Nervous System.Central Nervous System.Brain.Prosencephalon.Telencephalon.Telencephalic Commissures.Corpus Callosum,A08.186.211.200.885.800.750
Nervous System.Central Nervous System.Brain.White Matter,A08.186.211.204
Nervous System.Central Nervous System.Meninges,A08.186.566
Nervous System.Central Nervous System.Meninges.Arachnoid,A08.186.566.166
Nervous System.Central Nervous System.Meninges.Arachnoid.Subarachnoid Space,A08.186.566.166.686
Nervous System.Central Nervous System.Meninges.Arachnoid.Subarachnoid Space.Cisterna Magna,A08.186.566.166.686.351
Nervous System.Central Nervous System.Meninges.Dura Mater,A08.186.566.395
Nervous System.Central Nervous System.Meninges.Dura Mater.Subdural Space,A08.186.566.395.687
Nervous System.Central Nervous System.Meninges.Pia Mater,A08.186.566.731
Nervous System.Central Nervous System.Spinal Cord,A08.186.854
Nervous System.Central Nervous System.Spinal Cord.Cervical Cord,A08.186.854.126
Nervous System.Central Nervous System.Spinal Cord.Extrapyramidal Tracts,A08.186.854.253
Nervous System.Central Nervous System.Spinal Cord.Pyramidal Tracts,A08.186.854.300
Nervous System.Central Nervous System.Spinal Cord.Gray Matter,A08.186.854.348
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Lateral Horn,A08.186.854.443
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Dorsal Horn,A08.186.854.697
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Dorsal Horn.Posterior Horn Cells,A08.186.854.697.500
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Dorsal Horn.Posterior Horn Cells.Substantia Gelatinosa,A08.186.854.697.500.500
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Ventral Horn,A08.186.854.729
Nervous System.Central Nervous System.Spinal Cord.Spinal Cord Ventral Horn.Anterior Horn Cells,A08.186.854.729.500
Nervous System.Central Nervous System.Spinal Cord.Spinothalamic Tracts,A08.186.854.761
Nervous System.Central Nervous System.Spinal Cord.White Matter,A08.186.854.880
Nervous System.Ganglia,A08.340
"Nervous System.Ganglia.Ganglia, Autonomic",A08.340.315
"Nervous System.Ganglia.Ganglia, Autonomic.Ganglia, Parasympathetic",A08.340.315.300
"Nervous System.Ganglia.Ganglia, Autonomic.Ganglia, Sympathetic",A08.340.315.350
"Nervous System.Ganglia.Ganglia, Autonomic.Ganglia, Sympathetic.Stellate Ganglion",A08.340.315.350.800
"Nervous System.Ganglia.Ganglia, Autonomic.Ganglia, Sympathetic.Superior Cervical Ganglion",A08.340.315.350.850
"Nervous System.Ganglia.Ganglia, Invertebrate",A08.340.352
"Nervous System.Ganglia.Ganglia, Sensory",A08.340.390
"Nervous System.Ganglia.Ganglia, Sensory.Ganglia, Spinal",A08.340.390.340
"Nervous System.Ganglia.Ganglia, Sensory.Geniculate Ganglion",A08.340.390.380
"Nervous System.Ganglia.Ganglia, Sensory.Nodose Ganglion",A08.340.390.550
"Nervous System.Ganglia.Ganglia, Sensory.Spiral Ganglion",A08.340.390.800
"Nervous System.Ganglia.Ganglia, Sensory.Trigeminal Ganglion",A08.340.390.850
"Nervous System.Ganglia.Satellite Cells, Perineuronal",A08.340.685
Nervous System.Nerve Net,A08.511
Nervous System.Nerve Net.Central Pattern Generators,A08.511.500
Nervous System.Neural Pathways,A08.612
Nervous System.Neural Pathways.Afferent Pathways,A08.612.220
Nervous System.Neural Pathways.Afferent Pathways.Auditory Pathways,A08.612.220.110
Nervous System.Neural Pathways.Afferent Pathways.Olfactory Pathways,A08.612.220.640
Nervous System.Neural Pathways.Afferent Pathways.Spinocerebellar Tracts,A08.612.220.725
Nervous System.Neural Pathways.Afferent Pathways.Spinothalamic Tracts,A08.612.220.735
Nervous System.Neural Pathways.Afferent Pathways.Visceral Afferents,A08.612.220.830
Nervous System.Neural Pathways.Afferent Pathways.Visual Pathways,A08.612.220.860
Nervous System.Neural Pathways.Default Mode Network,A08.612.300
Nervous System.Neural Pathways.Efferent Pathways,A08.612.380
Nervous System.Neural Pathways.Efferent Pathways.Extrapyramidal Tracts,A08.612.380.239
Nervous System.Neural Pathways.Efferent Pathways.Pyramidal Tracts,A08.612.380.730
Nervous System.Neural Pathways.Internal Capsule,A08.612.435
Nervous System.Neural Pathways.Medial Forebrain Bundle,A08.612.492
Nervous System.Neural Pathways.Perforant Pathway,A08.612.600
Nervous System.Neuroglia,A08.637
Nervous System.Neuroglia.Astrocytes,A08.637.200
Nervous System.Neuroglia.Ependymoglial Cells,A08.637.300
Nervous System.Neuroglia.Microglia,A08.637.400
Nervous System.Neuroglia.Neuropil,A08.637.500
Nervous System.Neuroglia.Neuropil.Neuropil Threads,A08.637.500.550
Nervous System.Neuroglia.Oligodendrocyte Precursor Cells,A08.637.550
Nervous System.Neuroglia.Oligodendroglia,A08.637.600
Nervous System.Neuroglia.Oligodendroglia.Myelin Sheath,A08.637.600.500
"Nervous System.Neuroglia.Satellite Cells, Perineuronal",A08.637.685
Nervous System.Neuroglia.Schwann Cells,A08.637.800
Nervous System.Neuroglia.Schwann Cells.Myelin Sheath,A08.637.800.500
Nervous System.Neuroglia.Schwann Cells.Myelin Sheath.Neurilemma,A08.637.800.500.550
Nervous System.Neuroglia.Schwann Cells.Myelin Sheath.Ranvier's Nodes,A08.637.800.500.700
Nervous System.Neurons,A08.675
Nervous System.Neurons.Adrenergic Neurons,A08.675.100
Nervous System.Neurons.Adrenergic Neurons.Adrenergic Fibers,A08.675.100.500
Nervous System.Neurons.Cholinergic Neurons,A08.675.127
Nervous System.Neurons.Cholinergic Neurons.Cholinergic Fibers,A08.675.127.500
"Nervous System.Neurons.Cholinergic Neurons.Cholinergic Fibers.Autonomic Fibers, Preganglionic",A08.675.127.500.060
"Nervous System.Neurons.Cholinergic Neurons.Cholinergic Fibers.Parasympathetic Fibers, Postganglionic",A08.675.127.500.700
Nervous System.Neurons.Dendrites,A08.675.256
Nervous System.Neurons.Dendrites.Dendritic Spines,A08.675.256.200
Nervous System.Neurons.Dendrites.Neurites,A08.675.256.500
Nervous System.Neurons.Dopaminergic Neurons,A08.675.278
Nervous System.Neurons.GABAergic Neurons,A08.675.289
Nervous System.Neurons.Grid Cells,A08.675.324
Nervous System.Neurons.Interneurons,A08.675.358
Nervous System.Neurons.Interneurons.Amacrine Cells,A08.675.358.050
Nervous System.Neurons.Interneurons.Cerebellar Golgi Cells,A08.675.358.200
Nervous System.Neurons.Interneurons.Commissural Interneurons,A08.675.358.350
Nervous System.Neurons.Interneurons.Renshaw Cells,A08.675.358.650
Nervous System.Neurons.Interneurons.Retinal Bipolar Cells,A08.675.358.700
Nervous System.Neurons.Mirror Neurons,A08.675.500
Nervous System.Neurons.Nerve Fibers,A08.675.542
Nervous System.Neurons.Nerve Fibers.Adrenergic Fibers,A08.675.542.075
"Nervous System.Neurons.Nerve Fibers.Adrenergic Fibers.Sympathetic Fibers, Postganglionic",A08.675.542.075.800
"Nervous System.Neurons.Nerve Fibers.Autonomic Fibers, Postganglionic",A08.675.542.100
"Nervous System.Neurons.Nerve Fibers.Autonomic Fibers, Postganglionic.Parasympathetic Fibers, Postganglionic",A08.675.542.100.700
"Nervous System.Neurons.Nerve Fibers.Autonomic Fibers, Postganglionic.Sympathetic Fibers, Postganglionic",A08.675.542.100.800
Nervous System.Neurons.Nerve Fibers.Axons,A08.675.542.145
Nervous System.Neurons.Nerve Fibers.Axons.Axon Initial Segment,A08.675.542.145.250
Nervous System.Neurons.Nerve Fibers.Axons.Neurites,A08.675.542.145.500
Nervous System.Neurons.Nerve Fibers.Axons.Presynaptic Terminals,A08.675.542.145.750
"Nervous System.Neurons.Nerve Fibers.Axons.Presynaptic Terminals.Mossy Fibers, Hippocampal",A08.675.542.145.750.500
Nervous System.Neurons.Nerve Fibers.Cholinergic Fibers,A08.675.542.234
"Nervous System.Neurons.Nerve Fibers.Cholinergic Fibers.Autonomic Fibers, Preganglionic",A08.675.542.234.060
"Nervous System.Neurons.Nerve Fibers.Cholinergic Fibers.Parasympathetic Fibers, Postganglionic",A08.675.542.234.700
"Nervous System.Neurons.Nerve Fibers.Nerve Fibers, Myelinated",A08.675.542.512
"Nervous System.Neurons.Nerve Fibers.Nerve Fibers, Myelinated.Myelin Sheath",A08.675.542.512.560
"Nervous System.Neurons.Nerve Fibers.Nerve Fibers, Myelinated.Myelin Sheath.Neurilemma",A08.675.542.512.560.550
"Nervous System.Neurons.Nerve Fibers.Nerve Fibers, Myelinated.Myelin Sheath.Ranvier's Nodes",A08.675.542.512.560.700
"Nervous System.Neurons.Nerve Fibers.Nerve Fibers, Unmyelinated",A08.675.542.756
Nervous System.Neurons.Neural Analyzers,A08.675.575
Nervous System.Neurons.Neurofibrils,A08.675.609
Nervous System.Neurons.Neurofibrils.Neurofibrillary Tangles,A08.675.609.520
"Nervous System.Neurons.Neurons, Afferent",A08.675.650
"Nervous System.Neurons.Neurons, Afferent.Hair Cells, Auditory",A08.675.650.250
"Nervous System.Neurons.Neurons, Afferent.Hair Cells, Auditory.Hair Cells, Auditory, Inner",A08.675.650.250.250
"Nervous System.Neurons.Neurons, Afferent.Hair Cells, Auditory.Hair Cells, Auditory, Outer",A08.675.650.250.315
"Nervous System.Neurons.Neurons, Afferent.Hair Cells, Vestibular",A08.675.650.395
"Nervous System.Neurons.Neurons, Afferent.Posterior Horn Cells",A08.675.650.675
"Nervous System.Neurons.Neurons, Afferent.Posterior Horn Cells.Substantia Gelatinosa",A08.675.650.675.800
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons",A08.675.650.850
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Amacrine Cells",A08.675.650.850.500
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells",A08.675.650.850.625
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Invertebrate",A08.675.650.850.625.660
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate",A08.675.650.850.625.670
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Photoreceptor Connecting Cilium",A08.675.650.850.625.670.049
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Cone Photoreceptor Cells",A08.675.650.850.625.670.100
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Photoreceptor Cell Inner Segment",A08.675.650.850.625.670.237
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Photoreceptor Cell Outer Segment",A08.675.650.850.625.670.375
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Photoreceptor Cell Outer Segment.Rod Cell Outer Segment",A08.675.650.850.625.670.375.500
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Rod Photoreceptor Cells",A08.675.650.850.625.670.650
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Photoreceptor Cells.Photoreceptor Cells, Vertebrate.Retinal Rod Photoreceptor Cells.Rod Cell Outer Segment",A08.675.650.850.625.670.650.650
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Retinal Bipolar Cells",A08.675.650.850.750
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Retinal Ganglion Cells",A08.675.650.850.875
"Nervous System.Neurons.Neurons, Afferent.Retinal Neurons.Retinal Horizontal Cells",A08.675.650.850.937
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells",A08.675.650.915
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells",A08.675.650.915.500
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Neuroepithelial Cells",A08.675.650.915.500.530
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Neuroepithelial Cells.Neuroepithelial Bodies",A08.675.650.915.500.530.550
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Olfactory Receptor Neurons",A08.675.650.915.500.540
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Paraganglia, Nonchromaffin",A08.675.650.915.500.600
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Paraganglia, Nonchromaffin.Aortic Bodies",A08.675.650.915.500.600.050
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Paraganglia, Nonchromaffin.Carotid Body",A08.675.650.915.500.600.150
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Paraganglia, Nonchromaffin.Glomus Jugulare",A08.675.650.915.500.600.350
"Nervous System.Neurons.Neurons, Afferent.Sensory Receptor Cells.Chemoreceptor Cells.Paraganglia, Nonchromaffin.Glomus Tympanicum",A08.675.650.915.500.600.360
