id,value
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Cochlear Nucleus,A08.186.211.132.810.428.600.135
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Kolliker-Fuse Nucleus,A08.186.211.132.810.428.600.392
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Middle Cerebellar Peduncle,A08.186.211.132.810.428.600.521
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum,A08.186.211.132.810.428.600.650
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Abducens Nucleus,A08.186.211.132.810.428.600.650.249
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Facial Nucleus,A08.186.211.132.810.428.600.650.374
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Locus Coeruleus,A08.186.211.132.810.428.600.650.437
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Parabrachial Nucleus,A08.186.211.132.810.428.600.650.500
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Raphe Nuclei,A08.186.211.132.810.428.600.650.562
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Raphe Nuclei.Nucleus Raphe Magnus,A08.186.211.132.810.428.600.650.562.500
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Superior Olivary Complex,A08.186.211.132.810.428.600.650.625
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Trapezoid Body,A08.186.211.132.810.428.600.650.687
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Trigeminal Motor Nucleus,A08.186.211.132.810.428.600.650.718
"Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Pontine Tegmentum.Trigeminal Nucleus, Spinal",A08.186.211.132.810.428.600.650.750
